station,period,entries_diff,exits_diff,entries_compared_to_2019,exits_compared_to_2019
1 AV (L),1/1/2020,433852,497230,0.781973155,0.789332902
1 AV (L),2/1/2020,383831,464922,1.036871053,1.110730984
1 AV (L),3/1/2020,201853,273699,0.428777477,0.529828875
1 AV (L),4/1/2020,37314,62160,0.071359315,0.106037086
1 AV (L),5/1/2020,49850,76545,0.105153247,0.141740813
1 AV (L),6/1/2020,82707,123857,0.184802354,0.246959785
1 AV (L),7/1/2020,121085,172204,0.286267167,0.362018004
1 AV (L),8/1/2020,140340,200799,0.350450486,0.442258348
1 AV (L),9/1/2020,166379,227731,0.408383222,0.502370327
1 AV (L),10/1/2020,193791,262422,0.408111648,0.502906225
1 AV (L),11/1/2020,172199,240100,0.408187986,0.512094254
1 AV (L),12/1/2020,152721,232906,0.373311529,0.494977037
1 AV (L),1/1/2021,151843,240712,0.273681232,0.382120752
1 AV (L),2/1/2021,144663,230150,0.390788855,0.549844352
1 AV (L),3/1/2021,72600,116712,0.1542174,0.225932092
103 ST (1),1/1/2020,315439,171785,0.955409633,1.006845742
103 ST (1),2/1/2020,295095,156487,0.936099277,0.960278596
103 ST (1),3/1/2020,161796,99175,0.476821426,0.567570506
103 ST (1),4/1/2020,27287,25199,0.080127207,0.148909138
103 ST (1),5/1/2020,33157,29486,0.093215931,0.166539585
103 ST (1),6/1/2020,48285,40655,0.186204264,0.320004723
103 ST (1),7/1/2020,64970,53515,0.258398858,0.431318659
103 ST (1),8/1/2020,70981,59556,0.259264806,0.433872918
103 ST (1),9/1/2020,89687,70541,0.276436321,0.432889036
103 ST (1),10/1/2020,104088,80958,0.302106281,0.453129897
103 ST (1),11/1/2020,93588,74839,0.292305386,0.44270858
103 ST (1),12/1/2020,90755,72308,0.278847188,0.430830463
103 ST (1),1/1/2021,80822,64496,0.244795721,0.378016259
103 ST (1),2/1/2021,78507,62231,0.249039618,0.381878989
103 ST (1),3/1/2021,39989,30917,0.117849712,0.176935491
103 ST (6),1/1/2020,338431,324518,1.000209836,1.045988719
103 ST (6),2/1/2020,313978,304142,1.014543892,1.07851773
103 ST (6),3/1/2020,205704,210160,0.58073532,0.650998832
103 ST (6),4/1/2020,55966,71861,0.161334121,0.225651573
103 ST (6),5/1/2020,64404,83492,0.177059564,0.253749624
103 ST (6),6/1/2020,85644,111003,0.257126645,0.362346374
103 ST (6),7/1/2020,100898,133940,0.322602098,0.450497114
103 ST (6),8/1/2020,102954,135174,0.323695678,0.444529947
103 ST (6),9/1/2020,125265,156252,0.364383952,0.493235266
103 ST (6),10/1/2020,137863,172248,0.364835648,0.496454882
103 ST (6),11/1/2020,125967,158595,0.373249933,0.497907529
103 ST (6),12/1/2020,124463,160194,0.379547153,0.516791514
103 ST (6),1/1/2021,117355,153201,0.346834732,0.49379855
103 ST (6),2/1/2021,111979,144530,0.361833028,0.51251773
103 ST (6),3/1/2021,57400,72265,0.162049388,0.223850545
"103 ST (B,C)",1/1/2020,121972,84923,1.052589793,1.075532871
"103 ST (B,C)",2/1/2020,112680,80346,1.164266083,1.29805968
"103 ST (B,C)",3/1/2020,66195,49867,0.546258015,0.576117472
"103 ST (B,C)",4/1/2020,11444,11159,0.089513246,0.125878465
"103 ST (B,C)",5/1/2020,14352,14184,0.103239172,0.149309978
"103 ST (B,C)",6/1/2020,21172,21278,0.153864043,0.218666502
"103 ST (B,C)",7/1/2020,27348,29249,0.220820852,0.313356403
"103 ST (B,C)",8/1/2020,29081,29681,0.207893683,0.287628886
"103 ST (B,C)",9/1/2020,36322,35385,0.279811107,0.376472215
"103 ST (B,C)",10/1/2020,40556,38558,0.295410345,0.4080298
"103 ST (B,C)",11/1/2020,36751,36917,0.301707577,0.443938046
"103 ST (B,C)",12/1/2020,34713,35067,0.293151934,0.427307622
"103 ST (B,C)",1/1/2021,34109,34979,0.294352681,0.443002064
"103 ST (B,C)",2/1/2021,31796,32356,0.328532165,0.52273939
"103 ST (B,C)",3/1/2021,15932,16268,0.131474926,0.187945516
103 ST-CORONA PLAZA (7),1/1/2020,542653,410626,1.046747991,1.057436869
103 ST-CORONA PLAZA (7),2/1/2020,512271,380425,1.055123705,1.064384899
103 ST-CORONA PLAZA (7),3/1/2020,348016,255801,0.658841704,0.634449113
103 ST-CORONA PLAZA (7),4/1/2020,67501,73279,0.124853877,0.182493986
103 ST-CORONA PLAZA (7),5/1/2020,110957,117579,0.19631701,0.288128034
103 ST-CORONA PLAZA (7),6/1/2020,169520,165640,0.319469912,0.429103608
103 ST-CORONA PLAZA (7),7/1/2020,215319,205718,0.415462004,0.516576979
103 ST-CORONA PLAZA (7),8/1/2020,205150,221811,0.385965638,0.540176364
103 ST-CORONA PLAZA (7),9/1/2020,251563,265527,0.456068819,0.644351637
103 ST-CORONA PLAZA (7),10/1/2020,279526,287717,0.479782359,0.66821731
103 ST-CORONA PLAZA (7),11/1/2020,271275,279415,0.502588207,0.686646499
103 ST-CORONA PLAZA (7),12/1/2020,268402,265933,0.498045132,0.644529811
103 ST-CORONA PLAZA (7),1/1/2021,250524,266473,0.483247109,0.686216593
103 ST-CORONA PLAZA (7),2/1/2021,229535,239937,0.472772848,0.671315817
103 ST-CORONA PLAZA (7),3/1/2021,112896,117331,0.21372751,0.291009608
104 ST (A),1/1/2020,43011,15671,0.964739923,0.952007776
104 ST (A),2/1/2020,41010,15184,0.974294403,0.97885508
104 ST (A),3/1/2020,27853,10364,0.585626879,0.60283853
104 ST (A),4/1/2020,5552,2471,0.121058829,0.15678934
104 ST (A),5/1/2020,7637,3141,0.158601927,0.188920967
104 ST (A),6/1/2020,12291,4870,0.275231207,0.320226197
104 ST (A),7/1/2020,15633,6157,0.351066697,0.397430932
104 ST (A),8/1/2020,16962,6703,0.377025495,0.421254399
104 ST (A),9/1/2020,19187,4539,0.417981004,0.281715492
104 ST (A),10/1/2020,21529,6139,0.426832411,0.353486497
104 ST (A),11/1/2020,19267,10397,0.421173436,0.641631696
104 ST (A),12/1/2020,19277,12764,0.463902392,0.859412874
104 ST (A),1/1/2021,17062,7703,0.382701927,0.467954559
104 ST (A),2/1/2021,16115,7514,0.382851848,0.484399175
104 ST (A),3/1/2021,8179,3792,0.17196863,0.220567706
"104 ST (J,Z)",1/1/2020,62831,31959,0.987163776,0.706651041
"104 ST (J,Z)",2/1/2020,61077,31494,0.998512294,0.801210949
"104 ST (J,Z)",3/1/2020,41755,21889,0.566768922,0.600867441
"104 ST (J,Z)",4/1/2020,8498,5358,0.110963125,0.134211713
"104 ST (J,Z)",5/1/2020,13369,7536,0.179086683,0.174565671
"104 ST (J,Z)",6/1/2020,19150,11030,0.289314257,0.290377781
"104 ST (J,Z)",7/1/2020,24226,13837,0.399162987,0.437575106
"104 ST (J,Z)",8/1/2020,25190,14469,0.447694878,0.486189516
"104 ST (J,Z)",9/1/2020,28290,15989,0.465257791,0.49774305
"104 ST (J,Z)",10/1/2020,26908,14639,0.400553761,0.41257539
"104 ST (J,Z)",11/1/2020,27299,20635,0.434317079,0.629730225
"104 ST (J,Z)",12/1/2020,28770,22618,0.473907887,0.718556406
"104 ST (J,Z)",1/1/2021,27651,21449,0.434436275,0.474262592
"104 ST (J,Z)",2/1/2021,26668,27895,0.435979597,0.709651979
"104 ST (J,Z)",3/1/2021,13160,13345,0.178629601,0.366329024
110 ST (6),1/1/2020,276241,257776,0.985881362,1.026390813
110 ST (6),2/1/2020,255407,238914,1.000799364,1.047482506
110 ST (6),3/1/2020,165564,170146,0.568403489,0.646674952
110 ST (6),4/1/2020,39380,58288,0.140718745,0.230838993
110 ST (6),5/1/2020,47424,69163,0.159641829,0.259170436
110 ST (6),6/1/2020,63654,91598,0.230399201,0.365535186
110 ST (6),7/1/2020,76680,110977,0.307218924,0.458522014
110 ST (6),8/1/2020,78218,113286,0.297688686,0.451335049
110 ST (6),9/1/2020,96080,129783,0.341001853,0.510155307
110 ST (6),10/1/2020,110076,149620,0.358473177,0.547505086
110 ST (6),11/1/2020,99578,136902,0.356905277,0.536963241
110 ST (6),12/1/2020,100349,138747,0.366352213,0.550275441
110 ST (6),1/1/2021,95652,134418,0.341374105,0.535214296
110 ST (6),2/1/2021,88777,123190,0.347868168,0.54010803
110 ST (6),3/1/2021,46153,59817,0.158449459,0.227346841
111 ST (7),1/1/2020,300811,199926,1.036400157,1.115801693
111 ST (7),2/1/2020,468497,171252,1.73531547,0.917754114
111 ST (7),3/1/2020,239280,129510,0.787945047,0.584716378
111 ST (7),4/1/2020,39107,33146,0.126370111,0.146254076
111 ST (7),5/1/2020,66122,53572,0.204579699,0.243422786
111 ST (7),6/1/2020,100140,76947,0.326771153,0.383026701
111 ST (7),7/1/2020,127440,93054,0.412810604,0.470409221
111 ST (7),8/1/2020,129989,96674,0.415765233,0.468836081
111 ST (7),9/1/2020,153027,113333,0.485867867,0.544461846
111 ST (7),10/1/2020,169532,119935,0.404362956,0.590862289
111 ST (7),11/1/2020,160297,121913,0.4093637,0.638204424
111 ST (7),12/1/2020,152386,118342,0.497182699,0.587561814
111 ST (7),1/1/2021,148853,116026,0.512851168,0.64754963
111 ST (7),2/1/2021,134590,104195,0.498522102,0.558389916
111 ST (7),3/1/2021,65825,49809,0.216760626,0.224879454
111 ST (A),1/1/2020,59802,21621,0.945889945,0.9386559
111 ST (A),2/1/2020,57382,21040,0.947945749,0.956537552
111 ST (A),3/1/2020,39085,14789,0.572288275,0.608375499
111 ST (A),4/1/2020,7961,3561,0.120086282,0.153293155
111 ST (A),5/1/2020,10530,5473,0.152847936,0.228594102
111 ST (A),6/1/2020,16613,11635,0.258733199,0.521281362
111 ST (A),7/1/2020,21448,10694,0.341045334,0.497441622
111 ST (A),8/1/2020,23262,10065,0.367424302,0.461358636
111 ST (A),9/1/2020,27383,11358,0.418988601,0.511000135
111 ST (A),10/1/2020,30219,12042,0.428753849,0.509089372
111 ST (A),11/1/2020,26733,11223,0.42058148,0.511298405
111 ST (A),12/1/2020,26115,11128,0.462196028,0.565418424
111 ST (A),1/1/2021,24732,9823,0.391186752,0.426456543
111 ST (A),2/1/2021,22409,9342,0.37019477,0.424713584
111 ST (A),3/1/2021,11321,4662,0.165763734,0.191780822
111 ST (J),1/1/2020,52488,30696,2.441188782,2.751523844
111 ST (J),2/1/2020,52693,30918,,
111 ST (J),3/1/2020,36233,21734,,
111 ST (J),4/1/2020,6792,4857,,
111 ST (J),5/1/2020,10211,6526,,
111 ST (J),6/1/2020,14666,9784,0.55643662,0.518000847
111 ST (J),7/1/2020,17949,12441,0.376549814,0.402178832
111 ST (J),8/1/2020,18572,13265,0.416842483,0.460031212
111 ST (J),9/1/2020,24505,15394,0.484748378,0.502005544
111 ST (J),10/1/2020,24503,13739,0.425251649,0.392924555
111 ST (J),11/1/2020,24256,15638,0.433375022,0.48384901
111 ST (J),12/1/2020,24485,17032,0.467021439,0.550520396
111 ST (J),1/1/2021,22467,19712,1.044928143,1.766941556
111 ST (J),2/1/2021,21862,18268,,
111 ST (J),3/1/2021,10605,8617,,
"116 ST (2,3)",1/1/2020,275160,148406,1.035043108,1.104836068
"116 ST (2,3)",2/1/2020,264954,139163,0.997301173,1.083613004
"116 ST (2,3)",3/1/2020,160291,97137,0.518897273,0.666719288
"116 ST (2,3)",4/1/2020,36442,37238,0.120255942,0.260514901
"116 ST (2,3)",5/1/2020,43693,43711,0.137201766,0.289812697
"116 ST (2,3)",6/1/2020,55698,51924,0.186879074,0.364693736
"116 ST (2,3)",7/1/2020,68201,65970,0.244720818,0.495806277
"116 ST (2,3)",8/1/2020,72197,71022,0.345739612,0.731740488
"116 ST (2,3)",9/1/2020,89359,79290,0.31350735,0.582423717
"116 ST (2,3)",10/1/2020,100244,84278,0.321726935,0.561767196
"116 ST (2,3)",11/1/2020,89914,76801,0.330077128,0.573775513
"116 ST (2,3)",12/1/2020,84964,72922,0.326255078,0.546883554
"116 ST (2,3)",1/1/2021,82184,74009,0.309143708,0.550973765
"116 ST (2,3)",2/1/2021,76984,66283,0.289771936,0.51612225
"116 ST (2,3)",3/1/2021,39220,31431,0.126963779,0.215732975
116 ST (6),1/1/2020,375120,244992,0.989018812,1.094941206
116 ST (6),2/1/2020,356122,231382,1.012676873,1.123840979
116 ST (6),3/1/2020,235897,174310,0.582030595,0.713218958
116 ST (6),4/1/2020,56839,69000,0.143253556,0.294589794
116 ST (6),5/1/2020,68254,79836,0.1660245,0.322386035
116 ST (6),6/1/2020,90652,103986,0.242725101,0.424826268
116 ST (6),7/1/2020,110578,126540,0.319903026,0.595560827
116 ST (6),8/1/2020,109140,123911,0.292411605,0.531695051
116 ST (6),9/1/2020,137494,138102,0.350351386,0.578200362
116 ST (6),10/1/2020,154659,152785,0.369104868,0.60271168
116 ST (6),11/1/2020,140794,143308,0.366025748,0.611557058
116 ST (6),12/1/2020,137510,144217,0.364534318,0.608939633
116 ST (6),1/1/2021,131059,139517,0.34554227,0.623542452
116 ST (6),2/1/2021,123366,128583,0.350806452,0.62453797
116 ST (6),3/1/2021,62597,61641,0.154446089,0.252214616
"116 ST (B,C)",1/1/2020,196112,146907,1.068532261,1.16787503
"116 ST (B,C)",2/1/2020,181315,136278,1.113653254,1.233798685
"116 ST (B,C)",3/1/2020,107391,92988,0.567722734,0.703990552
"116 ST (B,C)",4/1/2020,18004,26965,0.091278271,0.198675253
"116 ST (B,C)",5/1/2020,20557,29496,0.097559702,0.202160325
"116 ST (B,C)",6/1/2020,31595,42498,0.162382883,0.307217419
"116 ST (B,C)",7/1/2020,42302,54960,0.241874986,0.374468549
"116 ST (B,C)",8/1/2020,43679,56820,0.220965939,0.344244715
"116 ST (B,C)",9/1/2020,53610,63071,0.271353732,0.419500093
"116 ST (B,C)",10/1/2020,59331,56577,0.278566297,0.363024466
"116 ST (B,C)",11/1/2020,55056,67188,0.282539862,0.488512099
"116 ST (B,C)",12/1/2020,52947,64397,0.27195821,0.453787612
"116 ST (B,C)",1/1/2021,50337,62717,0.274265259,0.498584943
"116 ST (B,C)",2/1/2021,49062,58956,0.301343275,0.533760661
"116 ST (B,C)",3/1/2021,24665,28340,0.130391571,0.214555558
116 ST-COLUMBIA UNIVERSITY (1),1/1/2020,312512,170293,0.995175574,1.002195151
116 ST-COLUMBIA UNIVERSITY (1),2/1/2020,375708,205526,0.937575333,1.005095753
116 ST-COLUMBIA UNIVERSITY (1),3/1/2020,152869,97997,0.383306128,0.476891932
116 ST-COLUMBIA UNIVERSITY (1),4/1/2020,15587,14700,0.035899775,0.067450376
116 ST-COLUMBIA UNIVERSITY (1),5/1/2020,16845,16901,0.045841974,0.087344572
116 ST-COLUMBIA UNIVERSITY (1),6/1/2020,25379,23857,0.09775441,0.170845239
116 ST-COLUMBIA UNIVERSITY (1),7/1/2020,34575,31284,0.118802185,0.204330362
116 ST-COLUMBIA UNIVERSITY (1),8/1/2020,41175,37342,0.145137241,0.255052627
116 ST-COLUMBIA UNIVERSITY (1),9/1/2020,58874,51832,0.137561539,0.243843002
116 ST-COLUMBIA UNIVERSITY (1),10/1/2020,64068,55416,0.134937952,0.235937261
116 ST-COLUMBIA UNIVERSITY (1),11/1/2020,54287,48799,0.134914422,0.239512523
116 ST-COLUMBIA UNIVERSITY (1),12/1/2020,51233,44868,0.154671264,0.265704946
116 ST-COLUMBIA UNIVERSITY (1),1/1/2021,52049,45295,0.165746894,0.26656662
116 ST-COLUMBIA UNIVERSITY (1),2/1/2021,52644,46477,0.131372544,0.227289177
116 ST-COLUMBIA UNIVERSITY (1),3/1/2021,27288,24491,0.068422359,0.119182835
"121 ST (J,Z)",1/1/2020,55480,36068,0.974701335,1.224511967
"121 ST (J,Z)",2/1/2020,53915,33723,1.117200937,1.202288852
"121 ST (J,Z)",3/1/2020,37596,23573,0.657721174,0.638765445
"121 ST (J,Z)",4/1/2020,8474,6765,0.133142696,0.137620278
"121 ST (J,Z)",5/1/2020,10987,8710,0.18038089,0.20841808
"121 ST (J,Z)",6/1/2020,15365,12573,0.260410488,0.319095477
"121 ST (J,Z)",7/1/2020,18691,15344,0.314308776,0.378406373
"121 ST (J,Z)",8/1/2020,19694,15862,0.364953765,0.429120225
"121 ST (J,Z)",9/1/2020,25967,20126,0.465300052,0.554526919
"121 ST (J,Z)",10/1/2020,27120,18972,0.42959654,0.461392544
"121 ST (J,Z)",11/1/2020,24916,15769,0.422262143,0.4157176
"121 ST (J,Z)",12/1/2020,26314,20497,0.476331843,0.585544922
"121 ST (J,Z)",1/1/2021,25517,21610,0.448295854,0.733661518
"121 ST (J,Z)",2/1/2021,23634,18251,0.489732485,0.650682734
"121 ST (J,Z)",3/1/2021,12110,8425,0.211857735,0.228295036
125 ST (1),1/1/2020,192813,207144,0.975670602,0.991456428
125 ST (1),2/1/2020,181392,197770,0.925247517,0.959526859
125 ST (1),3/1/2020,105658,121288,0.504360611,0.548826897
125 ST (1),4/1/2020,19627,30375,0.092762213,0.138916202
125 ST (1),5/1/2020,26648,39597,0.12099363,0.172288963
125 ST (1),6/1/2020,37009,52768,0.226850064,0.310352534
125 ST (1),7/1/2020,45847,65600,0.281307907,0.38915584
125 ST (1),8/1/2020,50264,71812,0.283099313,0.389359995
125 ST (1),9/1/2020,62926,84906,0.295845303,0.391039428
125 ST (1),10/1/2020,69593,92844,0.303467553,0.389833853
125 ST (1),11/1/2020,63326,85987,0.300509185,0.379233392
125 ST (1),12/1/2020,59458,82354,0.298902579,0.394843077
125 ST (1),1/1/2021,50436,68885,0.255215792,0.329705307
125 ST (1),2/1/2021,47899,67343,0.244324065,0.326730127
125 ST (1),3/1/2021,25324,35371,0.120884629,0.160053395
"125 ST (2,3)",1/1/2020,378729,174509,1.062252127,1.115729374
"125 ST (2,3)",2/1/2020,365649,169542,1.010931862,1.102160219
"125 ST (2,3)",3/1/2020,224330,123912,0.530349776,0.699037013
"125 ST (2,3)",4/1/2020,42006,47651,0.099803273,0.276180044
"125 ST (2,3)",5/1/2020,49118,55210,0.111854765,0.300582
"125 ST (2,3)",6/1/2020,74401,65170,0.17754429,0.367384674
"125 ST (2,3)",7/1/2020,91934,85660,0.234289428,0.515310112
"125 ST (2,3)",8/1/2020,97513,91055,0.327199579,0.728562398
"125 ST (2,3)",9/1/2020,118486,97210,0.295237763,0.5758204
"125 ST (2,3)",10/1/2020,133860,105147,0.306339624,0.562659532
"125 ST (2,3)",11/1/2020,118610,100379,0.311919802,0.622517008
"125 ST (2,3)",12/1/2020,113695,97108,0.311221152,0.609691475
"125 ST (2,3)",1/1/2021,109271,95869,0.306481289,0.612941793
"125 ST (2,3)",2/1/2021,102524,87933,0.283454292,0.571635669
"125 ST (2,3)",3/1/2021,52207,43187,0.123425181,0.243635092
"125 ST (4,5,6)",1/1/2020,687804,628867,0.995164553,1.064242028
"125 ST (4,5,6)",2/1/2020,635067,586773,0.992652024,1.06918694
"125 ST (4,5,6)",3/1/2020,440750,443676,0.596219636,0.692817234
"125 ST (4,5,6)",4/1/2020,128418,191799,0.173360963,0.294283536
"125 ST (4,5,6)",5/1/2020,138438,205693,0.179584837,0.297126142
"125 ST (4,5,6)",6/1/2020,167445,244723,0.222067645,0.363810569
"125 ST (4,5,6)",7/1/2020,187215,286680,0.266800531,0.436338398
"125 ST (4,5,6)",8/1/2020,190316,282410,0.265241387,0.418811442
"125 ST (4,5,6)",9/1/2020,235107,307737,0.311456929,0.441718029
"125 ST (4,5,6)",10/1/2020,256118,336893,0.325672535,0.477580605
"125 ST (4,5,6)",11/1/2020,230706,313028,0.322169188,0.485981541
"125 ST (4,5,6)",12/1/2020,231336,327485,0.333561633,0.526598037
"125 ST (4,5,6)",1/1/2021,217660,303813,0.314926224,0.514147766
"125 ST (4,5,6)",2/1/2021,199580,277721,0.311956834,0.506048619
"125 ST (4,5,6)",3/1/2021,103261,138606,0.139685164,0.21643863
"125 ST (A,C,B,D)",1/1/2020,745068,680872,1.046621687,1.108738699
"125 ST (A,C,B,D)",2/1/2020,713799,655879,1.042571993,1.096237673
"125 ST (A,C,B,D)",3/1/2020,440839,430179,0.556875055,0.626423793
"125 ST (A,C,B,D)",4/1/2020,98576,127517,0.127701856,0.187288411
"125 ST (A,C,B,D)",5/1/2020,116311,153880,0.14100166,0.212722427
"125 ST (A,C,B,D)",6/1/2020,158837,209509,0.199464785,0.289680356
"125 ST (A,C,B,D)",7/1/2020,207004,269625,0.267807912,0.373021791
"125 ST (A,C,B,D)",8/1/2020,219490,288394,0.275669864,0.384423333
"125 ST (A,C,B,D)",9/1/2020,254327,310927,0.322829888,0.435341508
"125 ST (A,C,B,D)",10/1/2020,280367,338095,0.328399345,0.446351246
"125 ST (A,C,B,D)",11/1/2020,249800,308146,0.325092368,0.460281445
"125 ST (A,C,B,D)",12/1/2020,249098,316932,0.334837493,0.472189942
"125 ST (A,C,B,D)",1/1/2021,230130,295589,0.32327123,0.481340051
"125 ST (A,C,B,D)",2/1/2021,215718,273837,0.315076857,0.457691793
"125 ST (A,C,B,D)",3/1/2021,111162,138059,0.140421662,0.201040596
"135 ST (2,3)",1/1/2020,352791,127256,1.014805376,1.116907738
"135 ST (2,3)",2/1/2020,343303,120487,1.000192287,1.083077891
"135 ST (2,3)",3/1/2020,215406,89295,0.552075351,0.723675146
"135 ST (2,3)",4/1/2020,54771,38046,0.178050485,0.327734133
"135 ST (2,3)",5/1/2020,64644,44986,0.159701172,0.337509753
"135 ST (2,3)",6/1/2020,85950,55529,0.228006462,0.428891412
"135 ST (2,3)",7/1/2020,101583,65305,0.282059826,0.528554316
"135 ST (2,3)",8/1/2020,101649,66295,0.368282803,0.72844444
"135 ST (2,3)",9/1/2020,123681,78445,0.336508481,0.647471029
"135 ST (2,3)",10/1/2020,138571,81745,0.347563163,0.597101597
"135 ST (2,3)",11/1/2020,122823,74973,0.355993218,0.609085961
"135 ST (2,3)",12/1/2020,117693,74750,0.352832723,0.641328128
"135 ST (2,3)",1/1/2021,113325,74608,0.325980026,0.654823761
"135 ST (2,3)",2/1/2021,108954,68667,0.317430813,0.617259203
"135 ST (2,3)",3/1/2021,54022,32415,0.138455821,0.262701494
"135 ST (B,C)",1/1/2020,147982,112774,1.102870047,1.071079875
"135 ST (B,C)",2/1/2020,138640,106086,1.090074223,1.105085523
"135 ST (B,C)",3/1/2020,82989,69861,0.565189261,0.605601692
"135 ST (B,C)",4/1/2020,12315,15503,0.087948581,0.140303721
"135 ST (B,C)",5/1/2020,14219,16206,0.091347698,0.133540987
"135 ST (B,C)",6/1/2020,23485,25062,0.164786202,0.231235526
"135 ST (B,C)",7/1/2020,30586,32774,0.230788965,0.322607318
"135 ST (B,C)",8/1/2020,31443,32870,0.203886706,0.288604216
"135 ST (B,C)",9/1/2020,40521,40727,0.249277163,0.333726657
"135 ST (B,C)",10/1/2020,49347,42624,0.28637337,0.330831503
"135 ST (B,C)",11/1/2020,37999,40100,0.246241479,0.362119256
"135 ST (B,C)",12/1/2020,37204,39476,0.254806211,0.363051116
"135 ST (B,C)",1/1/2021,33804,37716,0.251932121,0.358210656
"135 ST (B,C)",2/1/2021,31380,33638,0.246729148,0.350403133
"135 ST (B,C)",3/1/2021,17351,18480,0.118167454,0.160196952
137 ST-CITY COLLEGE (1),1/1/2020,337464,354681,1.052637489,1.26709346
137 ST-CITY COLLEGE (1),2/1/2020,361866,369679,1.109317425,1.303678861
137 ST-CITY COLLEGE (1),3/1/2020,196831,200789,0.549441991,0.635378067
137 ST-CITY COLLEGE (1),4/1/2020,34817,49234,0.092395429,0.145798599
137 ST-CITY COLLEGE (1),5/1/2020,43418,59747,0.116042196,0.1779233
137 ST-CITY COLLEGE (1),6/1/2020,64948,83710,0.257348221,0.395397499
137 ST-CITY COLLEGE (1),7/1/2020,81908,103802,0.313539047,0.427929488
137 ST-CITY COLLEGE (1),8/1/2020,87291,113572,0.317629721,0.427016987
137 ST-CITY COLLEGE (1),9/1/2020,110091,134227,0.30512942,0.406049587
137 ST-CITY COLLEGE (1),10/1/2020,122579,152411,0.338336567,0.457741551
137 ST-CITY COLLEGE (1),11/1/2020,111896,140617,0.333757878,0.454391815
137 ST-CITY COLLEGE (1),12/1/2020,107094,139057,0.334263456,0.494878858
137 ST-CITY COLLEGE (1),1/1/2021,116730,152061,0.364111058,0.543236031
137 ST-CITY COLLEGE (1),2/1/2021,110008,146397,0.337234753,0.516271344
137 ST-CITY COLLEGE (1),3/1/2021,52666,68347,0.147013996,0.216277708
"138 ST-GRAND CONCOURSE (4,5)",1/1/2020,57822,47327,0.739222705,0.670791167
"138 ST-GRAND CONCOURSE (4,5)",2/1/2020,49857,34938,0.694164822,0.56169515
"138 ST-GRAND CONCOURSE (4,5)",3/1/2020,35259,23736,0.419225968,0.313371356
"138 ST-GRAND CONCOURSE (4,5)",4/1/2020,15757,18864,0.176935602,0.233078805
"138 ST-GRAND CONCOURSE (4,5)",5/1/2020,13157,15457,0.134452665,0.17900198
"138 ST-GRAND CONCOURSE (4,5)",6/1/2020,14170,16920,0.148015836,0.206977541
"138 ST-GRAND CONCOURSE (4,5)",7/1/2020,15363,21516,0.174150107,0.265603397
"138 ST-GRAND CONCOURSE (4,5)",8/1/2020,21925,31148,0.237301527,0.361643581
"138 ST-GRAND CONCOURSE (4,5)",9/1/2020,30547,36967,0.290558536,0.422180855
"138 ST-GRAND CONCOURSE (4,5)",10/1/2020,34647,40873,0.321860543,0.451146824
"138 ST-GRAND CONCOURSE (4,5)",11/1/2020,34789,42222,0.416874371,0.60005969
"138 ST-GRAND CONCOURSE (4,5)",12/1/2020,35966,43553,0.608757469,0.920587614
"138 ST-GRAND CONCOURSE (4,5)",1/1/2021,36019,42551,0.460483252,0.603098336
"138 ST-GRAND CONCOURSE (4,5)",2/1/2021,33750,39296,0.469905184,0.631758332
"138 ST-GRAND CONCOURSE (4,5)",3/1/2021,17832,20036,0.212020688,0.264522602
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",1/1/2020,2464938,2393330,0.961591921,1.036605358
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",2/1/2020,2343359,2292856,0.960112869,1.036938213
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",3/1/2020,1221243,1220591,0.436642576,0.4782183
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",4/1/2020,173937,214253,0.062027847,0.082076222
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",5/1/2020,215681,264447,0.075203131,0.099873858
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",6/1/2020,327994,397286,0.122370799,0.161774377
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",7/1/2020,461100,556239,0.178997752,0.229767559
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",8/1/2020,504536,613696,0.195036492,0.251807222
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",9/1/2020,613718,734983,0.22782206,0.288402121
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",10/1/2020,681453,810306,0.236012972,0.296783315
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",11/1/2020,605664,740091,0.228946327,0.294561237
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",12/1/2020,591236,730998,0.228140532,0.293598137
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",1/1/2021,535161,674554,0.208770563,0.292164595
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",2/1/2021,500881,647590,0.205219215,0.292870907
"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",3/1/2021,256158,328794,0.091586596,0.128818997
"14 ST/6 AV (1,2,3,F,L,M)",1/1/2020,1160286,939329,1.003016087,1.091135394
"14 ST/6 AV (1,2,3,F,L,M)",2/1/2020,1127999,945172,0.986863678,1.095427394
"14 ST/6 AV (1,2,3,F,L,M)",3/1/2020,573838,492063,0.444591995,0.49785706
