STATION_NAME_RAW,STATION_NAME,NAME_CHANGED?,Complex ID,Latitude,Longitude,Neighborhood,PUMA,Borough
8 AV-N,8 AV (N),NO,71,40.635064,-74.011719,Sunset Park & Windsor Terrace ,4012,Brooklyn
8 ST-NYU-NRW,"8 ST-NYU (N,R,W)",NO,16,40.730328,-73.992629,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
80 ST-A,80 ST (A),NO,190,40.679371,-73.858992,Howard Beach & Ozone Park ,4113,Queens
81 ST-MUSEUM-BC,"81 ST-MUSEUM OF NATURAL HISTORY (B,C)",NAME_ONLY,159,40.781433,-73.972143,Upper West Side & West Side ,3806,Manhattan
82 ST-JACKSON H-7,82 ST-JACKSON HTS (7),NAME_ONLY,453,40.747659,-73.883697,Jackson Heights & North Corona ,4102,Queens
85 ST-FOREST PK-J,85 ST-FOREST PKWY (J),NAME_ONLY,84,40.692435,-73.86001,Richmond Hill & Woodhaven ,4111,Queens
86 ST-1,86 ST (1),NO,311,40.788644,-73.976218,Upper West Side & West Side ,3806,Manhattan
86 ST-2 AVE-Q,86 ST-2 AVE (Q),NO,476,40.777891,-73.951787,Upper East Side ,3805,Manhattan
86 ST-456,"86 ST (4,5,6)",NO,397,40.779492,-73.955589,Upper East Side ,3805,Manhattan
86 ST-BC,"86 ST (B,C)",NO,158,40.785868,-73.968916,Upper West Side & West Side ,3806,Manhattan
86 ST-N,86 ST (N),NO,79,40.592721,-73.97823,Brighton Beach & Coney Island ,4018,Brooklyn
86 ST-R,86 ST (R),NO,38,40.622687,-74.028398,Bay Ridge & Dyker Heights ,4013,Brooklyn
88 ST-A,88 ST (A),NO,191,40.679843,-73.85147,Howard Beach & Ozone Park ,4113,Queens
9 AV-D,9 AV (D),NO,59,40.646292,-73.994324,Sunset Park & Windsor Terrace ,4012,Brooklyn
90 ST-ELMHURST-7,90 ST-ELMHURST AV (7),NAME_ONLY,452,40.748408,-73.876613,Jackson Heights & North Corona ,4102,Queens
96 ST-123,"96 ST (1,2,3)",NO,310,40.793919,-73.972323,Upper West Side & West Side ,3806,Manhattan
96 ST-2 AVE-Q,96 ST-2 AVE (Q),NO,475,40.784318,-73.947152,Upper East Side ,3805,Manhattan
96 ST-6,96 ST (6),NO,396,40.785672,-73.95107,Upper East Side ,3805,Manhattan
96 ST-BC,"96 ST (B,C)",NO,157,40.791642,-73.964696,Upper West Side & West Side ,3806,Manhattan
ALABAMA AV-J,ALABAMA AV (J),NO,91,40.676992,-73.898654,East New York & Starrett City ,4008,Brooklyn
ALLERTON AV-25,"ALLERTON AV (2,5)",NO,423,40.865462,-73.867352,"Pelham Parkway, Morris Park & Laconia ",3704,Bronx
AQUEDUCT N.COND-A,AQUEDUCT-N CONDUIT AV (A),NAME_ONLY,197,40.668234,-73.834058,Howard Beach & Ozone Park ,4113,Queens
AQUEDUCT RACETR-A,AQUEDUCT RACETRACK (A),NAME_ONLY,196,40.672097,-73.835919,Howard Beach & Ozone Park ,4113,Queens
ASTOR PL-6,ASTOR PL (6),NO,407,40.730054,-73.99107,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
